Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,P1_missing,P2_missing,P3_missing,Is_finished,FastestLap
2020,7,Spa-Francorchamps,GIO,Sauber,43.87,18,18,0,,13.0,19.0,0,0,1,0,1,0,0,0,0
2020,7,Spa-Francorchamps,RUS,Williams,43.87,15,15,0,17.0,16.0,18.0,0,0,1,0,0,0,0,0,0
2020,7,Spa-Francorchamps,SAI,McLaren,50.0,7,7,0,8.0,9.0,9.0,0,1,0,0,0,0,0,0,0
2020,8,Monza,GAS,Racing Bulls,1.0,10,10,0,6.0,5.0,12.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,SAI,McLaren,2.0,3,3,0,10.0,7.0,2.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,STR,Racing Point,3.0,8,8,0,13.0,9.0,9.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,NOR,McLaren,4.0,6,6,0,7.0,4.0,3.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,BOT,Mercedes,5.0,2,2,0,1.0,2.0,1.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,RIC,Renault,6.0,7,7,0,9.0,3.0,4.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,HAM,Mercedes,7.0,1,1,0,2.0,1.0,5.0,0,0,0,1,0,0,0,1,1
2020,8,Monza,OCO,Renault,8.0,12,12,0,12.0,13.0,8.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,KVY,Racing Bulls,9.0,11,11,0,4.0,8.0,13.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,PER,Racing Point,10.0,4,4,0,8.0,12.0,10.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,LAT,Williams,11.0,20,20,0,20.0,19.0,19.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,GRO,Haas F1 Team,12.0,16,16,0,14.0,14.0,14.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,RAI,Sauber,13.0,14,14,0,18.0,18.0,17.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,RUS,Williams,14.0,19,19,0,,20.0,18.0,0,0,0,0,1,0,0,1,0
2020,8,Monza,ALB,Red Bull Racing,15.0,9,9,0,3.0,11.0,7.0,0,0,0,0,0,0,0,1,0
2020,8,Monza,GIO,Sauber,16.0,18,18,0,16.0,16.0,20.0,0,0,0,1,0,0,0,1,0
2020,8,Monza,VER,Red Bull Racing,33.02,5,5,0,5.0,6.0,6.0,0,1,0,0,0,0,0,0,0
2020,8,Monza,LEC,Ferrari,38.68,13,13,0,11.0,10.0,11.0,0,0,1,0,0,0,0,0,0
2020,8,Monza,MAG,Haas F1 Team,40.38,15,15,0,15.0,17.0,16.0,0,1,0,0,0,0,0,0,0
