Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3
2021,11,Budapest,VER,Red Bull Racing,9,3,3,0,1,3,2
2021,11,Budapest,RAI,Alfa Romeo Racing,10,13,13,0,0,15,15
2021,11,Budapest,RIC,McLaren,11,11,11,0,14,13,8
2021,11,Budapest,MSC,Haas F1 Team,12,20,20,0,17,19,19
2021,11,Budapest,GIO,Alfa Romeo Racing,13,0,14,0,20,14,18
2021,11,Budapest,MAZ,Haas F1 Team,14,19,19,0,19,20,20
2021,11,Budapest,NOR,McLaren,15,6,6,0,9,9,6
2021,11,Budapest,BOT,Mercedes,16,2,2,0,2,1,3
2021,11,Budapest,PER,Red Bull Racing,17,4,4,0,8,5,7
2021,11,Budapest,LEC,Ferrari,18,7,7,0,7,11,5
2021,11,Budapest,STR,Aston Martin,19,12,12,0,10,10,10
2021,11,Budapest,VET,Aston Martin,20,10,10,0,13,8,13
2021,12,Spa-Francorchamps,VER,Red Bull Racing,1,1,1,0,2,1,1
2021,12,Spa-Francorchamps,RUS,Williams,2,2,2,0,14,17,9
2021,12,Spa-Francorchamps,HAM,Mercedes,3,3,3,0,18,3,3
2021,12,Spa-Francorchamps,RIC,McLaren,4,4,4,0,12,15,13
2021,12,Spa-Francorchamps,VET,Aston Martin,5,5,5,0,7,8,8
2021,12,Spa-Francorchamps,GAS,AlphaTauri,6,6,6,0,3,5,7
2021,12,Spa-Francorchamps,OCO,Alpine,7,8,9,0,9,7,5
2021,12,Spa-Francorchamps,LEC,Ferrari,8,9,11,0,4,18,16
2021,12,Spa-Francorchamps,LAT,Williams,9,10,12,0,16,16,12
2021,12,Spa-Francorchamps,SAI,Ferrari,10,11,13,0,5,11,14
2021,12,Spa-Francorchamps,ALO,Alpine,11,12,14,0,10,4,10
2021,12,Spa-Francorchamps,BOT,Mercedes,12,13,8,0,1,2,11
2021,12,Spa-Francorchamps,GIO,Alfa Romeo Racing,13,14,16,0,13,13,18
2021,12,Spa-Francorchamps,NOR,McLaren,14,15,10,0,8,9,4
2021,12,Spa-Francorchamps,TSU,AlphaTauri,15,16,17,0,15,12,17
2021,12,Spa-Francorchamps,MSC,Haas F1 Team,16,17,18,0,20,20,15
2021,12,Spa-Francorchamps,MAZ,Haas F1 Team,17,18,20,0,19,19,19
2021,12,Spa-Francorchamps,RAI,Alfa Romeo Racing,18,0,19,0,17,14,20
2021,12,Spa-Francorchamps,PER,Red Bull Racing,19,0,7,0,6,10,2
2021,12,Spa-Francorchamps,STR,Aston Martin,20,19,15,0,11,6,6
2021,13,Zandvoort,VER,Red Bull Racing,1,1,1,0,2,5,1
2021,13,Zandvoort,HAM,Mercedes,2,2,2,0,1,11,3
2021,13,Zandvoort,BOT,Mercedes,3,3,3,0,5,4,2
2021,13,Zandvoort,GAS,AlphaTauri,4,4,4,0,10,7,10
2021,13,Zandvoort,LEC,Ferrari,5,5,5,0,4,1,9
2021,13,Zandvoort,ALO,Alpine,6,9,9,0,6,6,5
2021,13,Zandvoort,SAI,Ferrari,7,6,6,0,3,2,16
2021,13,Zandvoort,PER,Red Bull Racing,8,0,16,0,16,12,4
2021,13,Zandvoort,OCO,Alpine,9,8,8,0,7,3,13
2021,13,Zandvoort,NOR,McLaren,10,13,13,0,11,8,6
2021,13,Zandvoort,RIC,McLaren,11,10,10,0,14,15,11
2021,13,Zandvoort,STR,Aston Martin,12,12,12,0,9,14,7
2021,13,Zandvoort,VET,Aston Martin,13,15,17,0,19,10,8
2021,13,Zandvoort,GIO,Alfa Romeo Racing,14,7,7,0,8,9,15
2021,13,Zandvoort,KUB,Alfa Romeo Racing,15,16,18,0,0,0,19
2021,13,Zandvoort,LAT,Williams,16,0,14,0,12,18,12
2021,13,Zandvoort,RUS,Williams,17,11,11,0,15,20,14
2021,13,Zandvoort,MSC,Haas F1 Team,18,17,19,0,18,17,20
2021,13,Zandvoort,TSU,AlphaTauri,19,14,15,0,0,13,17
2021,13,Zandvoort,MAZ,Haas F1 Team,20,18,20,0,17,19,18
2021,14,Monza,RIC,McLaren,1,2,5,3,5,12,0
2021,14,Monza,NOR,McLaren,2,3,4,4,2,10,0
2021,14,Monza,BOT,Mercedes,3,19,1,1,4,2,0
2021,14,Monza,LEC,Ferrari,4,5,8,6,8,11,0
2021,14,Monza,PER,Red Bull Racing,5,8,9,9,12,4,0
2021,14,Monza,SAI,Ferrari,6,6,7,7,10,20,0
2021,14,Monza,STR,Aston Martin,7,9,12,10,6,18,0
2021,14,Monza,ALO,Alpine,8,10,13,11,11,8,0
2021,14,Monza,RUS,Williams,9,14,15,15,17,14,0
