Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2023,6,Monaco,ALO,Aston Martin,2.0,2,2,0,2.0,4.0,14.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,OCO,Alpine,3.0,3,4,0,8.0,10.0,9.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,HAM,Mercedes,4.0,5,6,0,3.0,6.0,8.0,0,0,0,0,1,0,0,0,1
2023,6,Monaco,RUS,Mercedes,5.0,8,8,0,15.0,12.0,11.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,LEC,Ferrari,6.0,6,3,0,5.0,2.0,7.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,GAS,Alpine,7.0,7,7,0,14.0,9.0,6.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,SAI,Ferrari,8.0,4,5,0,1.0,3.0,4.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,NOR,McLaren,9.0,10,10,0,7.0,5.0,5.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,PIA,McLaren,10.0,11,11,0,17.0,18.0,19.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,BOT,Sauber,11.0,15,15,0,11.0,8.0,10.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,DEV,Racing Bulls,12.0,12,12,0,16.0,17.0,20.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,ZHO,Sauber,13.0,19,19,0,19.0,13.0,16.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,ALB,Williams,14.0,13,13,0,10.0,19.0,18.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,TSU,Racing Bulls,15.0,9,9,0,13.0,16.0,15.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,PER,Red Bull Racing,16.0,20,20,0,4.0,7.0,2.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,HUL,Haas F1 Team,17.0,18,18,0,20.0,15.0,13.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,SAR,Williams,18.0,16,16,0,18.0,20.0,17.0,0,0,0,0,1,0,0,0,0
2023,6,Monaco,MAG,Haas F1 Team,21.03,17,17,0,12.0,14.0,12.0,0,0,1,0,0,0,0,0,0
2023,6,Monaco,STR,Aston Martin,26.41,14,14,0,9.0,11.0,3.0,0,0,1,0,0,0,0,0,0
2023,7,Barcelona,VER,Red Bull Racing,1.0,1,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2023,7,Barcelona,HAM,Mercedes,2.0,4,5,0,12.0,11.0,3.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,RUS,Mercedes,3.0,12,12,0,10.0,8.0,6.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,PER,Red Bull Racing,4.0,11,11,0,2.0,4.0,2.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,SAI,Ferrari,5.0,2,2,0,9.0,7.0,4.0,0,0,0,1,1,0,0,0,0
2023,7,Barcelona,STR,Aston Martin,6.0,5,6,0,15.0,18.0,13.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,ALO,Aston Martin,7.0,8,9,0,6.0,2.0,5.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,OCO,Alpine,8.0,6,7,0,3.0,5.0,16.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,ZHO,Sauber,9.0,13,13,0,13.0,13.0,11.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,GAS,Alpine,10.0,10,4,0,5.0,10.0,18.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,LEC,Ferrari,11.0,19,19,0,8.0,6.0,7.0,0,0,0,0,1,0,0,0,0
